china_code,china_name,risk_pca,risk_rf,risk_ensemble
6050502,真空测试工,0.468301556,0.465439965,0.466834653
6050599,其他电子专用设备装配调试人员,0.765517969,0.779418817,0.772643795
6050601,仪器仪表元器件装调工,0.741948571,0.739127355,0.740502365
6050602,力学仪器仪表装配工,0.741948571,0.739127355,0.740502365
6050603,电子仪器仪表装配工,0.741948571,0.739127355,0.740502365
6050604,光电仪器仪表元装调工,0.741948571,0.739127355,0.740502365
6050605,分析仪器仪表装配工,0.741948571,0.739127355,0.740502365
6050606,计时仪器仪表装配工,0.741948571,0.739127355,0.740502365
6050607,工业自动化仪器仪表与装置装配工,0.741948571,0.739127355,0.740502365
6050608,电工仪器仪表装配工,0.741948571,0.739127355,0.740502365
6050701,汽车（拖拉机）装配工,0.734954122,0.747661599,0.741468204
6050702,铁路机车机械制修工,0.734954122,0.747661599,0.741468204
6050703,铁路车辆机械制修工,0.734954122,0.747661599,0.741468204
6050704,铁路机车电气装修工,0.734954122,0.747661599,0.741468204
6050705,铁路车辆电气装修工,0.734954122,0.747661599,0.741468204
6050706,铁路机车车辆制动修造工,0.734954122,0.747661599,0.741468204
6050707,电机车装配工,0.734954122,0.747661599,0.741468204
6050708,摩托车装配工,0.734954122,0.747661599,0.741468204
6050709,助动车、自行车装配工,0.734954122,0.747661599,0.741468204
6050799,其他运输车辆装配人员,0.765517969,0.779418817,0.772643795
6050801,功能膜工,0.779163425,0.779316858,0.779242078
6050802,电渗析器工,0.779163425,0.779316858,0.779242078
6050901,医疗器械装配工,0.734954122,0.747661599,0.741468204
6050902,假肢制作装配工,0.445886207,0.445793054,0.445838455
6050903,矫形器制作装配工,0.445886207,0.445793054,0.445838455
6050999,其他医疗器械装配及假肢与矫形器制作人员,0.765517969,0.779418817,0.772643795
6051001,空调机装配工,0.734954122,0.747661599,0.741468204
6051002,电冰箱、电冰柜制造装配工,0.734954122,0.747661599,0.741468204
6051003,洗衣机制造装配工,0.734954122,0.747661599,0.741468204
6051004,小型家用电器装配工,0.734954122,0.747661599,0.741468204
6051005,缝纫机制造装配工,0.734954122,0.747661599,0.741468204
6051006,办公小机械制造装配工,0.734954122,0.747661599,0.741468204
6051099,其他日用机械电器制造装配人员,0.765517969,0.779418817,0.772643795
6051101,工具五金制作工,0.765517969,0.779418817,0.772643795
6051102,建筑五金制品制作工,0.765517969,0.779418817,0.772643795
6051103,制锁工,0.765517969,0.779418817,0.772643795
6051104,铝制品制作工,0.765517969,0.779418817,0.772643795
6051105,日用五金制品制作工,0.765517969,0.779418817,0.772643795
6051199,其他五金制品制作装配人员,0.765517969,0.779418817,0.772643795
6051201,装甲车辆装配工,0.734954122,0.747661599,0.741468204
6051202,装甲车辆装配检验工,0.516445171,0.516375994,0.516409709
6051203,装甲车辆驾驶试验工,0.716013121,0.697315303,0.706428282
6051204,装甲车辆发动机装试工,0.734954122,0.747661599,0.741468204
6051299,其他装甲车辆装试人员,0.765517969,0.779418817,0.772643795
6051301,火炮装试工,0.734954122,0.747661599,0.741468204
6051302,火炮装试检验工,0.516445171,0.516375994,0.516409709
6051303,火炮随动系统装试工,0.734954122,0.747661599,0.741468204
6051304,火炮随动系统装试检验工,0.516445171,0.516375994,0.516409709
6051305,火炮膛线制作工,0.825731451,0.824775781,0.825241558
6051306,枪支装配工,0.734954122,0.747661599,0.741468204
6051307,枪管校直工,0.825731451,0.824775781,0.825241558
6051308,枪管膛线制作工,0.825731451,0.824775781,0.825241558
6051399,其他枪炮制造人员,0.765517969,0.779418817,0.772643795
6051401,炮弹装配工,0.734954122,0.747661599,0.741468204
6051402,枪弹装配工,0.734954122,0.747661599,0.741468204
6051403,火工装药工,0.779163425,0.779316858,0.779242078
6051499,其他弹制造人员,0.765517969,0.779418817,0.772643795
6051501,引信装试工,0.734954122,0.747661599,0.741468204
6051599,其他引信加工制造人员,0.765517969,0.779418817,0.772643795
6051601,雷管制造工,0.779163425,0.779316858,0.779242078
6051602,索状爆破器材制造工,0.779163425,0.779316858,0.779242078
6051603,火工品装配工,0.734954122,0.747661599,0.741468204
6051604,爆破器材试验工,0.468301556,0.465439965,0.466834653
6051701,滤毒材料制造工,0.779163425,0.779316858,0.779242078
6051702,防毒器材装配工,0.734954122,0.747661599,0.741468204
6051703,防毒器材试验工,0.468301556,0.465439965,0.466834653
6051799,其他防化器材制造人员,0.765517969,0.779418817,0.772643795
6051801,船体制造工,0.833587396,0.84424568,0.839051025
6051802,船舶轮机装配工,0.734954122,0.747661599,0.741468204
6051803,船舶电气装配工,0.734954122,0.747661599,0.741468204
6051804,船舶附件制造工,0.765517969,0.779418817,0.772643795
6051806,船舶制造试验工,0.468301556,0.465439965,0.466834653
6051899,其他船舶制造人员,0.765517969,0.779418817,0.772643795
6051901,飞机装配工,0.734954122,0.747661599,0.741468204
6051902,飞机系统安装调试工,0.734954122,0.747661599,0.741468204
6051903,机载导弹装配工,0.734954122,0.747661599,0.741468204
6051904,航空发动机装配工,0.734954122,0.747661599,0.741468204
6051905,飞机螺旋桨装配工,0.734954122,0.747661599,0.741468204
6051906,飞机军械安装调试工,0.734954122,0.747661599,0.741468204
6051907,航空电气安装调试工,0.734954122,0.747661599,0.741468204
6051908,飞机发动机附件装配工,0.734954122,0.747661599,0.741468204
6051909,航空仪表装配工,0.741948571,0.739127355,0.740502365
6051910,飞机仪表安装试验工,0.741948571,0.739127355,0.740502365
6051911,航空装配平衡工,0.468301556,0.465439965,0.466834653
6051912,飞机无线电设备安装调试工,0.734954122,0.747661599,0.741468204
6051913,飞机雷达安装调试工,0.734954122,0.747661599,0.741468204
6051914,飞机特种设备检测与修理工,0.575739034,0.580831854,0.578349706
6051915,飞机透明件制造胶接装配工,0.734954122,0.747661599,0.741468204
6051916,飞机外场调试与维护工,0.575739034,0.580831854,0.578349706
6051999,其他航空产品装配与调试人员,0.765517969,0.779418817,0.772643795
6052001,飞机试验工,0.468301556,0.465439965,0.466834653
6052002,机载导弹例行试验工,0.468301556,0.465439965,0.466834653
6052003,航空发动机试车工,0.735849535,0.738818843,0.737371656
6052004,飞机螺旋桨试验工,0.468301556,0.465439965,0.466834653
6052005,飞机、发动机附件试验工,0.468301556,0.465439965,0.466834653
6052006,航空环控救生装备试验工,0.468301556,0.465439965,0.466834653
6052007,航空仪表试验工,0.468301556,0.465439965,0.466834653
6052008,航空电机电器试验设备调试工,0.468301556,0.465439965,0.466834653
6052099,其他航空产品试验人员,0.468301556,0.465439965,0.466834653
6052101,惯性器件装配工,0.734954122,0.747661599,0.741468204
6052102,伺服机构装配调试工,0.734954122,0.747661599,0.741468204
6052103,导弹部段装配工,0.734954122,0.747661599,0.741468204
