province,industry,year,employment,exposure
上海,文化、体育和娱乐业,2015,5.6,0.49574940735891965
上海,公共管理、社会保障和社会组织,2015,20.3,0.2793208238428194
上海,农林牧渔业,2014,2.4,0.46712666401014213
上海,采矿业,2014,0.1,0.5125208943995355
上海,制造业,2014,206.1,0.6847175650925181
上海,电力、热力、燃气及水生产和供应业,2014,4.6,0.5801516371950981
上海,建筑业,2014,37.3,0.6347082232359608
上海,交通运输、仓储和邮政业,2014,51.4,0.5359857648246004
上海,信息传输、软件和信息技术服务业,2014,24.8,0.30552326914336103
上海,批发和零售业,2014,78.0,0.41448412652779204
上海,住宿和餐饮业,2014,24.4,0.7053722687093864
上海,金融业,2014,33.0,0.2464877853992743
上海,房地产业,2014,25.6,0.29801142930015084
上海,租赁和商务服务业,2014,48.9,0.47578153570443577
上海,科学研究和技术服务业,2014,22.5,0.3957922605974184
上海,水利、环境和公共设施管理业,2014,8.6,0.5811363001515862
上海,居民服务、修理和其他服务业,2014,6.6,0.6329928585763148
上海,教育业,2014,29.4,0.3110199808341884
上海,卫生和社会工作,2014,19.0,0.3910500687036733
上海,文化、体育和娱乐业,2014,5.7,0.49574940735891965
上海,公共管理、社会保障和社会组织,2014,20.5,0.2793208238428194
上海,农林牧渔业,2013,1.3,0.46712666401014213
上海,采矿业,2013,0.1,0.5125208943995355
上海,制造业,2013,211.8,0.6847175650925181
上海,电力、热力、燃气及水生产和供应业,2013,5.2,0.5801516371950981
上海,建筑业,2013,37.2,0.6347082232359608
上海,交通运输、仓储和邮政业,2013,49.2,0.5359857648246004
上海,信息传输、软件和信息技术服务业,2013,21.7,0.30552326914336103
上海,批发和零售业,2013,66.9,0.41448412652779204
上海,住宿和餐饮业,2013,21.1,0.7053722687093864
上海,金融业,2013,30.0,0.2464877853992743
上海,房地产业,2013,24.0,0.29801142930015084
上海,租赁和商务服务业,2013,42.1,0.47578153570443577
上海,科学研究和技术服务业,2013,20.4,0.3957922605974184
上海,水利、环境和公共设施管理业,2013,8.1,0.5811363001515862
